,Source,Class,quotes-rate,alpha-chars-ratio,white-chars-ratio,number-of-words,type-token-ratio,mean-word-length,mean-sentence-char-length,mean-sentence-word-length,mean-paragraph-length,adverbs-rate,nouns-rate,prepositions-rate
0,kanye/YPthe sun,YP,12,0.7752176139272914,0.18740399385560677,320,54.83870967741935,5.470588235294118,120.0,20.8125,16.55,0.006144393241167435,0.026113671274961597,0.02304147465437788
1,kanye/HQguardian,HQ,16,0.795802798134577,0.18021319120586277,506,49.64912280701754,5.678445229681979,123.08333333333333,21.333333333333332,31.875,0.004996668887408394,0.028980679546968688,0.01965356429047302
2,kanye/HQbbc,HQ,14,0.7859531772575251,0.17993311036789297,486,51.42857142857142,5.729166666666667,112.84615384615384,19.384615384615383,21.82608695652174,0.0046822742474916385,0.02374581939799331,0.021739130434782608
3,kanye/HQwashington post,HQ,2,0.8103638368246968,0.16207276736493936,278,57.71604938271605,6.021390374331551,127.85714285714286,20.285714285714285,31.444444444444443,0.0033076074972436605,0.029768467475192944,0.019294377067254686
4,kanye/YPdaily mail,YP,6,0.7870550161812297,0.1818770226537217,258,58.16326530612245,5.426900584795321,152.6,26.5,21.833333333333332,0.006472491909385114,0.02524271844660194,0.020064724919093852
5,kanye/YPny post,YP,9,0.7805203468979319,0.1821214142761841,248,57.29537366548043,5.559006211180124,134.1818181818182,23.09090909090909,19.153846153846153,0.00533689126084056,0.028018679119412943,0.02134756504336224
6,kanye/YPirish post,YP,15,0.7868999551368326,0.18214445939883356,366,62.593516209476306,5.681274900398407,136.1875,22.625,16.714285714285715,0.009421265141318977,0.02557200538358008,0.01973979362943024
7,kanye/HQdw,HQ,3,0.8155859607376561,0.16121356335514575,256,63.6986301369863,5.913978494623656,110.33333333333333,17.333333333333332,32.375,0.005353955978584176,0.02676977989292088,0.01784651992861392
8,hamilton/YPthe sun,YP,21,0.788195741501681,0.18528203212551364,425,58.110882956878854,5.477031802120141,155.1764705882353,25.88235294117647,18.291666666666668,0.004856182293612252,0.027642883825177437,0.020918939110945087
9,hamilton/HQbbc,HQ,10,0.8016597510373444,0.17427385892116182,382,45.58139534883721,5.668367346938775,112.9047619047619,19.047619047619047,20.736842105263158,0.0024896265560165973,0.029045643153526972,0.021576763485477178
10,hamilton/HQthe guardian,HQ,8,0.793,0.177,154,63.1578947368421,5.5092592592592595,163.5,26.333333333333332,17.555555555555557,0.001,0.031,0.018
11,hamilton/YPdaily mail,YP,7,0.7932457786116323,0.17410881801125705,425,52.77161862527716,5.836134453781512,238.63636363636363,37.90909090909091,27.8,0.00300187617260788,0.02626641651031895,0.02176360225140713
12,tom hanks/HQbbc,HQ,6,0.7989720159908623,0.17190177041690463,267,53.333333333333336,5.690476190476191,100.88235294117646,16.470588235294116,16.529411764705884,0.002284408909194746,0.022844089091947458,0.017133066818960593
13,tom hanks/HQnbc news ,HQ,9,0.8101178101178101,0.16562716562716562,222,55.82329317269076,5.755395683453237,158.33333333333334,24.88888888888889,24.555555555555557,0.004158004158004158,0.018018018018018018,0.020097020097020097
14,tom hanks/YPdaily mail,YP,1,0.7809839167455062,0.18070009460737937,351,50.49019607843137,5.179611650485437,148.64285714285714,25.642857142857142,22.5,0.004730368968779565,0.021759697256385997,0.025070955534531692
15,tom hanks/YPthe sun ,YP,2,0.7826272999572101,0.18314077877620882,393,50.66964285714286,5.18942731277533,153.8,27.133333333333333,22.666666666666668,0.005134788189987163,0.0235344458707745,0.0235344458707745
16,quarantine/YPthe sun,YP,11,0.7914386868361764,0.17943353717412294,1027,43.23144104803494,5.63030303030303,153.4,26.5,25.804878048780488,0.006919858384293531,0.02140328290955906,0.0246218216929514
17,quarantine/HQguardian,HQ,16,0.8082335643772317,0.17223272421760136,762,41.07351225204201,5.909090909090909,162.0344827586207,26.79310344827586,26.79310344827586,0.0058811174123083385,0.027095148078134845,0.016593152699012813
18,quarantine/HQbbc,HQ,12,0.7903834691039142,0.17126962050466918,793,44.69945355191257,5.882640586797066,110.04444444444445,18.31111111111111,23.457142857142856,0.004768527717067356,0.02205444069143652,0.020464931452414067
19,quarantine/YPmirror,YP,1,0.7996715927750411,0.1687192118226601,373,55.529411764705884,5.741525423728813,133.44444444444446,21.61111111111111,19.55,0.004105090311986864,0.01847290640394089,0.020525451559934318
20,book/YPthe sun,YP,19,0.7966976264189887,0.18507051943584452,485,39.626168224299064,5.3254716981132075,205.5,35.42857142857143,22.636363636363637,0.006535947712418301,0.02476780185758514,0.020983832129342964
21,book/HQguardian ,HQ,16,0.797784586377563,0.18076832429884515,723,39.87804878048781,5.553516819571866,155.5185185185185,27.185185185185187,41.05555555555556,0.005892057506481263,0.027574829130332313,0.022861183125147302
22,book/HQreuters,HQ,6,0.794891640866873,0.1803405572755418,219,54.0,5.185185185185185,159.5,27.875,27.75,0.003869969040247678,0.02321981424148607,0.017027863777089782
23,book/YPexpress,YP,16,0.7874276261373035,0.1902398676592225,406,50.54704595185996,5.285714285714286,125.10526315789474,22.210526315789473,19.045454545454547,0.007444168734491315,0.022332506203473945,0.0206782464846981
